# {"t_start": 1635115773.387388, "env_id": "FreewayNoFrameskip-v0"} 
r,l,t
0.0,2044,65.071671
9.0,2048,125.504731
20.0,2046,173.795563
21.0,2042,220.892662
20.0,2044,269.081795
23.0,2045,312.962925
20.0,2041,358.693811
18.0,2042,412.645248
20.0,2047,456.093611
21.0,2041,499.713972
20.0,2041,542.49885
20.0,2047,582.935533
21.0,2047,623.200241
21.0,2041,668.655617
20.0,2048,709.966604
20.0,2042,749.026274
26.0,2046,788.640926
19.0,2046,829.645843
21.0,2048,870.579622
19.0,2048,907.480555
20.0,2046,945.112166
19.0,2043,983.356994
20.0,2047,1022.510815
18.0,2046,1064.892477
21.0,2047,1104.374227
20.0,2042,1143.312075
22.0,2047,1180.146851
18.0,2045,1216.200904
17.0,2045,1252.171246
20.0,2046,1288.230462
20.0,2044,1324.265678
21.0,2041,1361.249025
21.0,2047,1398.933689
22.0,2043,1435.400279
25.0,2043,1471.914255
22.0,2048,1508.290446
20.0,2042,1544.656768
19.0,2046,1580.94612
20.0,2041,1615.558179
24.0,2047,1651.839407
22.0,2045,1690.80844
20.0,2043,1731.376505
22.0,2046,1771.832521
24.0,2044,1811.978701
23.0,2041,1855.307831
22.0,2041,1900.282988
21.0,2048,1937.628113
21.0,2042,1973.473897
23.0,2042,2009.554927
21.0,2041,2046.623575
23.0,2045,2082.931419
24.0,2044,2119.230757
20.0,2045,2155.495537
19.0,2046,2191.598791
18.0,2047,2227.66087
20.0,2042,2263.980762
23.0,2047,2300.833933
22.0,2046,2336.986043
21.0,2048,2373.450412
21.0,2047,2410.431997
19.0,2042,2449.361463
21.0,2043,2489.63642
20.0,2042,2530.048178
22.0,2048,2570.942239
19.0,2045,2615.344715
20.0,2042,2656.767135
17.0,2047,2692.6274
18.0,2047,2728.838958
20.0,2041,2764.725975
22.0,2047,2800.693263
22.0,2048,2837.237692
20.0,2047,2873.34163
21.0,2042,2911.206651
22.0,2045,2947.139057
21.0,2046,2983.098811
21.0,2047,3019.284676
22.0,2044,3055.445977
19.0,2042,3090.270609
21.0,2044,3126.389761
18.0,2048,3165.068521
22.0,2041,3206.043616
23.0,2045,3246.219809
22.0,2045,3286.560801
22.0,2045,3329.534166
23.0,2042,3371.629765
22.0,2044,3407.600081
21.0,2045,3443.788166
24.0,2043,3481.090824
24.0,2041,3517.030773
24.0,2042,3553.311306
21.0,2042,3589.47069
20.0,2043,3625.766963
20.0,2046,3662.110932
19.0,2045,3698.045827
21.0,2042,3734.090666
22.0,2043,3770.839922
23.0,2046,3808.372032
22.0,2042,3844.574814
22.0,2043,3884.131277
24.0,2044,3924.96782
24.0,2045,3964.850032
22.0,2042,4005.423657
22.0,2045,4048.262313
24.0,2043,4089.458227
24.0,2041,4125.443501
24.0,2044,4161.498515
24.0,2042,4196.389624
25.0,2041,4233.14272
22.0,2044,4270.385928
23.0,2047,4307.109605
25.0,2048,4349.346481
24.0,2045,4392.778824
21.0,2046,4438.6391
24.0,2047,4480.869422
24.0,2041,4521.912109
23.0,2041,4564.610941
24.0,2041,4605.865195
25.0,2048,4649.599084
25.0,2047,4692.644332
25.0,2042,4735.497094
24.0,2047,4778.078718
24.0,2046,4820.78006
25.0,2047,4863.517506
20.0,2042,4906.97714
24.0,2041,4949.559212
23.0,2045,4992.620017
25.0,2045,5035.733998
25.0,2044,5078.205256
25.0,2043,5121.000927
25.0,2045,5162.530045
25.0,2043,5205.199565
26.0,2046,5246.710017
25.0,2042,5289.91043
25.0,2042,5330.255868
24.0,2045,5372.85778
26.0,2041,5415.626673
24.0,2043,5458.398081
23.0,2042,5501.14018
26.0,2047,5543.838445
26.0,2041,5585.409683
27.0,2046,5627.772617
23.0,2045,5670.232961
26.0,2043,5713.629632
25.0,2047,5755.304558
26.0,2043,5798.699942
27.0,2047,5836.777603
26.0,2043,5873.469871
25.0,2047,5911.095077
27.0,2047,5947.384086
27.0,2045,5983.688578
27.0,2042,6020.419383
25.0,2044,6056.993669
26.0,2041,6093.469785
26.0,2047,6129.829384
25.0,2045,6166.41746
28.0,2046,6203.40835
25.0,2041,6239.632813
29.0,2041,6275.691721
29.0,2043,6311.853174
26.0,2044,6348.334685
25.0,2043,6384.445607
24.0,2043,6420.425059
27.0,2042,6456.66566
26.0,2046,6494.029789
29.0,2048,6530.412961
25.0,2043,6566.452313
24.0,2044,6602.651673
25.0,2046,6639.014067
27.0,2047,6675.585311
26.0,2046,6711.80834
28.0,2045,6747.991221
29.0,2041,6785.029772
25.0,2044,6821.379317
28.0,2047,6857.541003
