eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,76,0.0015430293,0.0,1.0971807,0.0002317337,0.076966666,-10.660584449768066,1,128,3.343178565002745,256
nan,nan,79,0.001962364,0.118489586,1.0972983,-0.0033454567,0.00030824155,-9.260302543640137,2,256,6.551742779993219,512
nan,nan,77,0.0011708075,0.046875,1.095538,0.000992346,0.00015684988,-24.139911651611328,3,384,9.840178982994985,768
nan,nan,72,0.0013978211,0.07421875,1.0934982,-0.0009983707,0.00043589436,-13.17280101776123,4,512,13.369107927981531,1024
nan,nan,61,0.0011213279,0.0390625,1.0913309,0.000181497,0.00011755886,-3.271568775177002,5,640,17.528997043002164,1280
nan,nan,61,0.00028342026,0.0,1.0933586,0.0005930974,0.00019483735,-2.9479267597198486,6,768,21.671029040007852,1536
nan,nan,71,0.0020157148,0.0013020834,1.0977292,-0.0012436328,5.493361e-05,-8.672232627868652,7,896,25.26110226599849,1792
nan,nan,71,2.951743e-05,0.0,1.0985616,-0.0004912378,5.112434e-05,-5.976431846618652,8,1024,28.85560198800522,2048
nan,nan,89,0.00128584,0.08203125,1.0976702,-0.0064358287,0.00015041989,-2.6837453842163086,9,1152,31.70308016097988,2304
nan,nan,60,0.002589315,0.15625,1.090281,0.0013237768,0.0011379123,-9.035629272460938,10,1280,35.91868416898069,2560
nan,nan,38,0.0035388938,0.20442708,1.0788313,-0.0010638031,0.00018205885,-8.828649520874023,11,1408,42.54334428498987,2816
nan,nan,55,0.0017241704,0.078125,1.078554,0.00011733997,9.532979e-05,-8.449530601501465,12,1536,47.15124745099456,3072
nan,nan,47,0.00050557905,0.0,1.084191,-0.0004860547,4.479686e-05,-7.468718528747559,13,1664,52.495838784001535,3328
nan,nan,72,0.0015803021,0.08984375,1.0935426,-0.0031266883,5.2347295e-05,-6.708724498748779,14,1792,56.05038381999475,3584
nan,nan,62,0.0013836706,0.055989582,1.0913194,-0.0024081653,0.0167804,-0.006156563758850098,15,1920,60.17281183798332,3840
2043.0,0.5,71,0.00038122592,0.00390625,1.0896891,-0.0018480471,0.00044368856,-2.266106367111206,16,2048,63.7781408180017,4096
2043.0,0.5,61,0.00061942515,0.0,1.0824945,-0.0003082798,3.3904238e-05,-3.1077346801757812,17,2176,67.95846957099275,4352
2043.0,0.5,44,0.0034343917,0.3138021,1.0646594,-0.0055962764,5.123264e-05,-19.476463317871094,18,2304,73.71462885398068,4608
2043.0,0.5,71,0.0028739916,0.20052083,1.0365251,-0.004933904,3.681721e-05,-1.636019229888916,19,2432,77.28360757100745,4864
2043.0,0.5,66,0.0016367333,0.084635414,1.0335001,-0.00409694,1.5244937e-05,-3.360729694366455,20,2560,81.13269101298647,5120
2043.0,0.5,81,0.0029218576,0.23307292,0.99287444,0.0008464378,0.027385363,0.006014108657836914,21,2688,84.28509045799728,5376
2043.0,0.5,83,0.0030601239,0.20963542,1.0007762,0.004556046,0.0001651855,-0.6071866750717163,22,2816,87.33838845099672,5632
2043.0,0.5,67,0.0029215245,0.21614583,0.95573854,0.002211591,1.6180413e-05,-9.786358833312988,23,2944,91.1329340779921,5888
2043.0,0.5,41,0.004690591,0.23567708,0.9414806,-0.00083205075,1.4223296e-05,-5.9562296867370605,24,3072,97.29380636298447,6144
2043.0,0.5,40,0.005646016,0.2890625,0.822545,0.0036075336,0.03032391,0.0035892128944396973,25,3200,103.62713546300074,6400
2043.0,0.5,74,0.010457673,0.34765625,0.74211293,0.012799412,0.032083746,0.004683196544647217,26,3328,107.06560337098199,6656
